_id,id,nickname,battles_in_0,dmg_in_0,winrate_in_0,battles_in_1,dmg_in_1,winrate_in_1,battles_in_4,dmg_in_4,winrate_in_4,battles_in_3,dmg_in_3,winrate_in_3,clantag,is_stats_closed,kills_in_0,spotting_in_0,kills_in_1,spotting_in_1,kills_in_3,spotting_in_3
5fa7ff35805c92047577eef0,622425358,china-wangzi,64,1951.35,53.1,138,6787.92,82.6,0,0,0,232,7764.35,51.7,PLA,false,0.91,383.046875,6.76,1309.195652173913,3.13,1179.0991379310344
5fa7ff35805c92047577eef1,640496802,minghai,1567,1594.34,49.9,241,5833,82.6,0,0,0,168,9671.17,51.2,PLA,false,0.61,347.40587109125715,5.5,3589.302904564315,3.56,1351.172619047619
5fa7ff35805c92047577eef2,643601483,xiaowu123,38,789.6,44.7,168,6085.37,71.4,0,0,0,21,5409.14,47.6,PLA,false,0.21,269.63157894736844,5.01,1740.577380952381,2.24,1230.142857142857
5fa7ff35805c92047577eef3,641233516,wanmeiluomu,306,1704.16,51.6,452,11115.7,81,0,0,0,168,8998.68,48.8,PLA,false,1.09,367.5359477124183,6.65,2874.1216814159293,3.32,1418.5238095238096
5fa7ff35805c92047577eef4,636808669,zhuandaLT,1038,1621.5,48.2,52,4549.71,73.1,0,0,0,22,4262.63,40.9,PLA,false,0.73,440.0780346820809,6.23,1123.2307692307693,2.68,905.3636363636364
5fa7ff35805c92047577eef5,636622483,EZxxc,312,1984.28,58.3,293,6516.61,87,0,0,0,1,5161,100,PLA,false,1.33,459.5224358974359,6.24,3045.638225255973,2,0
5fa7ff35805c92047577eef6,638608681,sdfzg17b,294,1172.58,49.7,437,6904.76,84,0,0,0,0,0,0,PLA,false,0.67,439.1462585034014,5.92,1855.2356979405035,0,0
5fa7ff35805c92047577eef7,638973412,nonomonster,222,976.93,53.6,115,4056.15,89.6,0,0,0,0,0,0,PLA,false,0.81,328.34234234234236,5.41,1430.0521739130436,0,0
5fa7ff35805c92047577eef8,633957899,Zor3,116,1700.93,44,50,8657.5,54,0,0,0,4,13103.25,50,PLA,false,0.68,254.18103448275863,4.86,2242.88,6.25,1673.5
5fa7ff35805c92047577eef9,640883819,wackyliu,116,592.11,46.6,0,0,0,0,0,0,0,0,0,PLA,false,0.39,367.5431034482759,0,0,0,0
5fa7ff35805c92047577eefa,632858705,Dragon_db,12,689.41,25,1118,5882.24,77.3,0,0,0,0,0,0,PLA,false,0.33,188.5,4.76,1922.8738819320215,0,0
5fa7ff35805c92047577eefb,640626605,huamao,42,711.5,42.9,107,4408.12,85,0,0,0,0,0,0,PLA,false,0.5,634.8333333333334,5.83,2217.766355140187,0,0
5fa7ff35805c92047577eefc,641196762,China_PLA73133,683,857.66,43.3,340,8096.59,73.2,0,0,0,11,5958.81,63.6,PLA,false,0.43,268.97510980966325,4.86,3563.5235294117647,2,1293.8181818181818
